Timestamp,Measurement,Iteration,field (Tm),std,glTF  (Tm/kA),current
20241004_135414,scan_XCO,1,0.4365465685207621,0.0002120835283573794,17.43721178905483,25.03534245049304
20241004_135510,scan_XCO,1,0.4372780304206484,0.0001984837568716245,17.47755503186507,25.01940515268889
20241004_135606,scan_XCO,1,0.4374946635956268,9.860901486853742e-05,17.48495019303068,25.0212130298208
20241004_135702,scan_XCO,1,0.4377659548131709,0.0001452728584705992,17.48838402405632,25.03181278561802
20241004_135757,scan_XCO,1,0.4384852475390974,0.0001325706980918798,17.52058393191101,25.02686264585422
20241004_135853,scan_XCO,1,0.4390808947188828,9.326803522589109e-05,17.54394671484513,25.02748679391203
20241004_135949,scan_XCO,1,0.4393818583305953,0.0001476874580620724,17.5468505041449,25.04049705255111
20241004_140045,scan_XCO,1,0.4393170394841485,0.000107617392800336,17.56086489370155,25.01682247106837
20241004_140141,scan_XCO,1,0.4395217753356579,0.0001286331643925942,17.55708595873354,25.03386816973597
20241004_140237,scan_XCO,1,0.4406803014716283,0.0001339856468046098,17.60942761478057,25.02524846984469
20241004_140333,scan_XCO,1,0.4409372422606399,0.0003703207189466762,17.6140823368778,25.03322249933338
20241004_140429,scan_XCO,1,0.4414637140473306,0.0002545302906293318,17.63555296387489,25.03259835127574
20241004_140525,scan_XCO,1,0.4418378735448016,0.0002101559389928734,17.66003516588863,25.01908231747108
20241004_140620,scan_XCO,1,0.4417480364827753,8.491592775851157e-05,17.6495286669077,25.02888574645275
20241004_140716,scan_XCO,1,0.4422712663909258,0.00035566715166575,17.67229526943137,25.02624925897113
20241004_140812,scan_XCO,1,0.4427849424619613,0.0002041447196412249,17.69133735816212,25.02834768778387
20241004_140908,scan_XCO,1,0.4432355648051864,0.0001055634654690902,17.71044597852708,25.02678731764206
20241004_141004,scan_XCO,1,0.4433233014186246,0.0001024727937645129,17.72152597842511,25.01609071128209
20241004_141100,scan_XCO,1,0.4435890433041818,0.000399027838275967,17.72874745278486,25.02089019461452
20241004_141155,scan_XCO,1,0.4437901350731591,0.0004017270569111071,17.73376408761388,25.02515161928445
20241004_141251,scan_XCO,1,0.4445513725324244,0.0001476867913389494,17.76186871169703,25.02841225482465
20241004_141347,scan_XCO,1,0.4452716676829933,0.0003734539658442187,17.78748159021936,25.03286738060944
20241004_141443,scan_XCO,1,0.4452565952875389,0.0002449733504657144,17.78905128762939,25.02981120736736
20241004_141539,scan_XCO,1,0.4458326170856767,0.0001623234104293577,17.81065575358285,25.0317912632718
20241004_141635,scan_XCO,1,0.4458425737044602,0.0002063332773718049,17.81290669361323,25.02918705930886
20241004_141731,scan_XCO,1,0.4461733769428227,0.0001737061834709155,17.83290116796872,25.01967418202456
20241004_141826,scan_XCO,1,0.4465967123591719,0.0004250164672352952,17.84421088355436,25.02754059977882
20241004_141922,scan_XCO,1,0.4471187137730699,0.0002295044529265869,17.87116915869933,25.01899622809073
20241004_142018,scan_XCO,1,0.4478580213279908,0.0003812326767036855,17.89853262812011,25.02205240134423
20241004_142114,scan_XCO,1,0.448076089565361,0.0002135938191852795,17.90559973788786,25.02435529245311
20241004_142210,scan_XCO,1,0.4475106910951597,0.0002599456939457819,17.87927684439827,25.02957446152911
20241004_142306,scan_XCO,1,0.4480311936473377,0.000392034425982699,17.90442930086523,25.02348363740846
20241004_142402,scan_XCO,1,0.4489012152747778,1.44949865126031e-05,17.92879651017577,25.03800046032073
20241004_142459,scan_XCO,1,0.4493140006784658,0.0002175245165840833,17.95243545285653,25.02802485258191
20241004_142555,scan_XCO,1,0.4497423946555429,0.0003170032358732419,17.96810732663003,25.03003719200811
20241004_142651,scan_XCO,1,0.4497814052291538,0.0001680165430164277,17.96780417492155,25.03263063479584
20241004_142747,scan_XCO,1,0.4511461994755129,0.0003353788935232441,18.02430062294619,25.02988653557922
20241004_142843,scan_XCO,1,0.4511802821808713,9.49934338613483e-05,18.01909284557537,25.03901201062181
20241004_142939,scan_XCO,1,0.4503826952594964,0.0003940625014726445,17.99616448649277,25.02659361651959
20241004_144532,scan_XCO,1,0.4501525872740426,0.0002261008676308191,17.99025758729228,25.02202011782285
20241004_144628,scan_XCO,1,0.4506330239895451,0.0003966375830832783,18.0030937622252,25.03086580235898
20241004_144724,scan_XCO,1,0.4503282940633784,3.07424302503293e-05,18.0005310847691,25.01750042499677
20241004_144820,scan_XCO,1,0.4501046703006744,0.0002129098125550559,17.98426653473656,25.02769125620433
20241004_144917,scan_XCO,1,0.4497041159241023,0.000227215638209407,17.9729296980041,25.0211915074726
20241004_145013,scan_XCO,1,0.4489326699424006,0.0002119860351525691,17.93458519167611,25.03167289036389
20241004_145109,scan_XCO,1,0.448808376819074,0.0004506927968230164,17.93379074723243,25.02585109555463
20241004_145205,scan_XCO,1,0.4480616842779599,0.0004363432677777134,17.90251434933533,25.02786343498141
20241004_145301,scan_XCO,1,0.4475939795689746,4.435585591499049e-05,17.8744353929769,25.04101358887342
20241004_145357,scan_XCO,1,0.4478512377781613,0.0003127098970102307,17.89716855241849,25.0235804879673
20241004_145453,scan_XCO,1,0.447620727620262,1.78982484349424e-05,17.88807222392379,25.0234190703684
20241004_145549,scan_XCO,1,0.4474818830478287,0.0001291195495261504,17.87847178286229,25.02909020874871
20241004_145645,scan_XCO,1,0.4468605480056251,0.0002676904285629621,17.85476805044411,25.02751907743265
20241004_145742,scan_XCO,1,0.4462097514569756,0.0002104712570563339,17.82734673341893,25.02950989451033
20241004_145838,scan_XCO,1,0.445380912555946,0.0001377027477188632,17.79476781262762,25.02875661237301
20241004_145934,scan_XCO,1,0.4457213866884653,0.0003486288589872463,17.80910620899949,25.02772353972647
20241004_150030,scan_XCO,1,0.445336992196347,0.0002938882895843592,17.79132249459436,25.03113483169429
20241004_150127,scan_XCO,1,0.4445733629866397,0.0003838850368788271,17.76202182310854,25.02943456629729
20241004_150223,scan_XCO,1,0.4439741096578378,0.0001714154281574853,17.73365009164543,25.03568680804186
20241004_150319,scan_XCO,1,0.4436027125173035,0.0003497719934086704,17.72139001084437,25.0320495314333
20241004_150415,scan_XCO,1,0.4436110404017517,0.0001908897904635177,17.72663036886149,25.02511933576484
20241004_150511,scan_XCO,1,0.4434132718718684,6.70131318647305e-05,17.71923807709097,25.02439833714707
20241004_150607,scan_XCO,1,0.4431272597035656,0.0001525639789429715,17.71384937302046,25.01586472664052
20241004_150703,scan_XCO,1,0.4429764336213397,0.0001618374028451638,17.70494884546323,25.01992168900557
20241004_150759,scan_XCO,1,0.4420562852921413,0.0002681052787995528,17.66223167717335,25.02833692661016
20241004_150856,scan_XCO,1,0.4416764240171637,0.0004988793804278706,17.6430263756358,25.03405110968367
20241004_150952,scan_XCO,1,0.4416544940107143,8.322975203998827e-05,17.64676245152974,25.02750831625938
20241004_151048,scan_XCO,1,0.4413931931536404,0.0001711215288307088,17.63803586533409,25.02507629101477
20241004_151144,scan_XCO,1,0.4408098389601475,3.568133811359641e-05,17.61209708308428,25.02881041823962
20241004_151240,scan_XCO,1,0.4402625503642678,0.0001857892840227088,17.58750849945852,25.03268444065415
20241004_151336,scan_XCO,1,0.4396684541493375,0.0001573273857628159,17.56934208861244,25.02475345586835
20241004_151432,scan_XCO,1,0.4392275776232646,0.0001239937399698472,17.54547727238276,25.03366370743447
20241004_151528,scan_XCO,1,0.4393504349700749,7.859536866081673e-05,17.55033969185135,25.03372827444851
20241004_151624,scan_XCO,1,0.4390554333470066,0.0002018855631529643,17.54809031305331,25.02012615130042
20241004_151720,scan_XCO,1,0.4383579092604355,0.0002913603136141244,17.51395959729511,25.02905792520707
20241004_151816,scan_XCO,1,0.43786983208832,0.0001278170263406299,17.49708464115423,25.02530227569586
20241004_151912,scan_XCO,1,0.4375584494162464,6.879909311882046e-05,17.4913736661737,25.01567102545147
20241004_152008,scan_XCO,1,0.4373260890746367,0.0003194245882037695,17.49318470170291,24.99979829470755
20241004_152105,scan_XCO,1,0.4366281555550873,2.039558455276768e-05,17.44583988091122,25.02763745028031
